Date,SPY,BTC,AAPL,MSFT,IBM,GLDI,V
10/1/2019,293.23999,8343.276367,224.5899963,137.0700073,143.6600037,9,174.2899933
10/8/2019,288.529999,8228.783203,224.3999939,135.6699982,138.3800049,9.130999565,172.4199982
10/15/2019,298.880005,8205.369141,235.3200073,141.5700073,143,9.024999619,178.75
10/22/2019,299.01001,8078.203125,239.9600067,136.3699951,133.9600067,9.039999962,170.8600006
10/29/2019,303.209991,9427.6875,243.2899933,142.8300018,133.8200073,9.050000191,177.6300049
11/5/2019,307.029999,9342.527344,257.1300049,144.4600067,137.8899994,9.024999619,176.3699951
11/12/2019,309,8815.662109,261.9599915,147.0700073,135.5899963,8.869999886,179.7400055
11/19/2019,311.929993,8206.145508,266.2900085,150.3899994,134.5200043,8.890000343,182.7700043
11/26/2019,314.079987,7218.371094,264.2900085,152.0299988,135.0899963,8.836000443,182.5500031
12/3/2019,309.549988,7320.145508,259.4500122,149.3099976,132.1199951,8.850000381,181.8999939
12/10/2019,313.529999,7278.119629,268.480011,151.1300049,133.9100037,8.835000038,182.2599945
12/17/2019,319.570007,6640.515137,280.4100037,154.6900024,134.2200012,8.918999672,185.5200043
12/24/2019,321.230011,7322.532227,284.269989,157.3800049,134.9799957,8.987000465,187.5700073
12/31/2019,321.859985,7193.599121,293.6499939,157.6999969,134.0399933,9.057999611,187.8999939
1/7/2020,322.730011,8163.692383,298.3900146,157.5800018,134.1900024,9.135000229,188.6900024
1/14/2020,327.450012,8827.764648,312.6799927,162.1300049,135.8200073,9.085000038,196.0500031
1/21/2020,331.299988,8745.894531,316.5700073,166.5,139.1699982,9.079999924,207.2899933
1/28/2020,326.890015,9358.589844,317.6900024,165.4600067,139.5500031,9.130999565,202.8500061
2/4/2020,329.059998,9180.962891,318.8500061,180.1199951,149.1100006,9.067000389,203.5599976
2/11/2020,335.26001,10208.23633,319.6099854,184.4400024,153.4799957,9.199999809,203.9400024
2/18/2020,336.730011,10141.99609,319,187.2299957,151.1000061,9.364999771,211.1999969
2/25/2020,312.649994,9341.705078,288.0799866,168.0700073,141.7100067,9.31000042,188.3999939
3/3/2020,300.23999,8787.786133,289.3200073,164.5099945,128.8999939,9.31000042,185.7299957
3/10/2020,288.420013,7909.729492,285.3399963,160.9199982,124.7699966,9.371999741,182.6000061
3/17/2020,252.800003,5225.629395,252.8600006,146.5700073,106.6500015,8.680000305,157.8899994
3/24/2020,243.149994,6734.803711,246.8800049,148.3399963,105.4800034,9.010000229,154.5299988
3/31/2020,257.75,6438.644531,254.2899933,157.7100067,110.9300003,9.069999695,161.1199951
4/7/2020,265.130005,7176.414551,259.4299927,163.4900055,114.9400024,9.180000305,168.5899963
4/14/2020,283.790009,6842.427734,287.0499878,173.6999969,123.9100037,9.800000191,174.6199951
4/21/2020,273.040009,6880.323242,268.3699951,167.8200073,116.7600021,9.885000229,160.5299988
4/28/2020,285.730011,7807.058594,278.5799866,169.8099976,126.2699966,9.76099968,171.25
5/5/2020,286.190002,9003.070313,297.5599976,180.7599945,122.5800018,9.819999695,178.4400024
5/12/2020,286.670013,8804.477539,311.4100037,182.5099945,120.2600021,9.845000267,179.4700012
