Date,AAPL,MSFT,IBM,AABA,GLDI,V
2/5/2016,94.01999664,50.15999985,128.5700073,27.96999931,10.81999969,71.54000092
2/8/2016,95.01000214,49.40999985,126.9800034,27.04999924,10.78299999,67.76999664
2/9/2016,94.98999786,49.27999878,124.0699997,26.81999969,10.75,68.33000183
2/10/2016,94.26999664,49.70999908,120.1900024,27.10000038,10.81700039,70.15000153
2/11/2016,93.69999695,49.68999863,117.8499985,26.76000023,10.81999969,68.47000122
2/12/2016,93.98999786,50.5,121.0400009,27.04000092,10.77999973,70.41999817
2/16/2016,96.63999939,51.09000015,122.7399979,29.28000069,10.71000004,71.09999847
2/17/2016,98.12000275,52.41999817,126.0999985,29.37000084,10.77999973,72.02999878
2/18/2016,96.26000214,52.18999863,132.4499969,29.42000008,10.65999985,71.23999786
2/19/2016,96.04000092,51.81999969,133.0800018,30.04000092,10.63399982,71.52999878
2/22/2016,96.87999725,52.65000153,133.7700043,31.17000008,10.61999989,73.05999756
2/23/2016,94.69000244,51.18000031,132.3999939,30.67000008,10.65999985,72.15000153
2/24/2016,96.09999847,51.36000061,132.8000031,30.95000076,10.72999954,71.84999847
2/25/2016,96.76000214,52.09999847,134.5,31.36000061,10.76000023,73.26999664
2/26/2016,96.91000366,51.29999924,132.0299988,31.37000084,10.74499989,72.73000336
2/29/2016,96.69000244,50.88000107,131.0299988,31.79000092,10.80000019,72.38999939
3/1/2016,100.5299988,52.58000183,134.3699951,32.79999924,10.76599979,74.63999939
3/2/2016,100.75,52.95000076,136.3000031,32.90999985,10.80799961,74.30000305
3/3/2016,101.5,52.34999847,137.8000031,32.88000107,10.88599968,73.91000366
3/4/2016,103.0100021,52.02999878,137.8000031,33.86000061,10.9289999,73.90000153
3/7/2016,101.8700027,51.02999878,140.1499939,33.95999908,10.88000011,71.94000244
3/8/2016,101.0299988,51.65000153,139.0700073,32.93000031,10.97999954,70.62000275
3/9/2016,101.1200027,52.84000015,140.4100037,33.50999832,10.89900017,70.68000031
3/10/2016,101.1699982,52.04999924,140.1900024,32.81999969,10.98999977,70.22000122
3/11/2016,102.2600021,53.06999969,142.3600006,33.81000137,10.89000034,71.62999725
3/14/2016,102.5199966,53.16999817,142.7799988,33.58000183,10.75,71.48999786
3/15/2016,104.5800018,53.59000015,142.9600067,33.25999832,10.77999973,71.91000366
3/16/2016,105.9700012,54.34999847,144.7899933,34.00999832,10.97999954,72.37000275
3/17/2016,105.8000031,54.65999985,147.0399933,34.27500153,11.01000023,73.13999939
3/18/2016,105.9199982,53.49000168,147.0899963,35.16999817,10.73999977,73.77999878
3/21/2016,105.9100037,53.86000061,148.6300049,35.47000122,10.64000034,73.76999664
3/22/2016,106.7200012,54.06999969,148.1000061,35.40999985,10.71000004,72.95999908
3/23/2016,106.1299973,53.97000122,145.3999939,34.79999924,10.52499962,73.91000366
3/24/2016,105.6699982,54.20999908,147.9499969,34.86000061,10.47999954,74.13999939
3/28/2016,105.1900024,53.54000092,148.3999939,35.22999954,10.51000023,74.08000183
3/29/2016,107.6800003,54.70999908,149.3300018,36.31999969,10.67000008,75.37999725
